id,member_number,account_type,balance,opened_date,status
214,MBR00335,checking,16774.58,2023-08-13,active
660,MBR00018,savings,36205.57,2022-07-18,frozen
56,MBR00047,checking,6489.1,2025-06-16,frozen
737,MBR00071,savings,58521.18,2023-09-24,active
621,MBR00059,savings,46364.33,2019-01-07,active
583,MBR00347,cd,32013.71,2023-09-25,active
674,MBR00035,checking,10047.89,2012-07-08,closed
528,MBR00279,savings,50385.59,2018-06-25,frozen
197,MBR00487,checking,5440.01,2004-11-14,active
714,MBR00380,money_market,45073.52,2023-12-17,frozen
690,MBR00432,savings,23154.13,2023-02-24,active
61,MBR00441,checking,8075.79,2014-11-16,active
577,MBR00075,cd,2174.44,2021-08-28,active
632,MBR00355,savings,48167.01,2009-08-12,closed
432,MBR00352,savings,51766.53,2013-04-30,active
604,MBR00063,savings,23060.69,2019-10-27,active
443,MBR00450,savings,29973.03,2006-03-11,frozen
437,MBR00104,savings,13692.33,2025-12-09,active
248,MBR00460,checking,12321.05,2018-12-26,closed
587,MBR00030,cd,64170.21,2022-02-12,frozen
570,MBR00176,cd,59958.87,2015-01-13,active
91,MBR00169,checking,22598.3,2025-11-25,active
651,MBR00144,checking,13966.03,2006-05-10,active
182,MBR00459,checking,6519.34,2023-12-25,active
791,MBR00165,checking,1353.55,2006-07-10,active
555,MBR00041,money_market,80145.19,2025-02-25,active
291,MBR00108,checking,6760.06,2023-05-30,frozen
159,MBR00178,checking,23686.62,2019-04-27,active
70,MBR00026,checking,1923.88,2006-07-28,active
518,MBR00393,savings,71084.9,2024-05-02,active
132,MBR00067,checking,1165.93,2011-11-16,active
45,MBR00121,checking,1797.59,2025-02-06,closed
71,MBR00439,checking,13996.3,2018-03-19,closed
692,MBR00191,money_market,9479.54,2013-09-15,active
356,MBR00026,savings,53979.47,2012-10-29,active
445,MBR00098,savings,66387.62,2011-08-27,active
762,MBR00361,savings,3525.34,2014-01-20,active
136,MBR00211,checking,2670.3,2019-01-05,closed
83,MBR00049,checking,3495.9,2018-05-26,active
166,MBR00028,checking,1814.19,2026-01-12,active
165,MBR00386,checking,23066.56,2015-02-09,closed
29,MBR00135,checking,5156.87,2013-06-22,active
449,MBR00481,checking,12406.78,2020-08-26,active
194,MBR00229,checking,18420.98,2020-02-22,frozen
240,MBR00062,checking,18454.09,2015-02-14,active
725,MBR00331,checking,22941.55,2016-05-12,active
731,MBR00084,savings,31753.79,2015-09-21,active
137,MBR00226,checking,20758.21,2018-11-01,frozen
665,MBR00440,money_market,6100.99,2017-09-13,active
312,MBR00485,savings,1180.38,2021-11-29,active
141,MBR00336,checking,6364.5,2023-08-18,active
474,MBR00271,savings,51804.74,2006-10-14,frozen
7,MBR00139,checking,24535.25,2008-04-30,frozen
729,MBR00295,money_market,26519.97,2013-06-08,active
756,MBR00099,savings,56674.33,2023-09-01,active
74,MBR00463,checking,7978.47,2025-07-07,active
560,MBR00294,savings,26792.13,2025-10-03,active
300,MBR00283,checking,1440.25,2016-05-14,active
146,MBR00296,checking,16122.58,2017-01-16,active
293,MBR00224,checking,21583.88,2025-02-14,active
235,MBR00466,checking,2415.93,2026-04-03,frozen
221,MBR00444,checking,6601.58,2012-02-03,active
451,MBR00452,checking,9722.24,2022-01-14,frozen
381,MBR00420,savings,22879.3,2002-08-22,frozen
133,MBR00380,checking,22702.38,2024-07-13,active
376,MBR00475,savings,3311.35,2025-03-03,active
405,MBR00358,savings,68000.0,2012-02-27,closed
523,MBR00066,checking,24526.59,2023-05-04,active
750,MBR00034,money_market,113796.17,2011-04-07,active
427,MBR00373,money_market,132319.46,2026-03-02,active
42,MBR00353,checking,19768.71,2023-06-11,closed
496,MBR00111,savings,8861.23,2018-02-05,active
109,MBR00499,checking,17021.55,2024-09-10,active
345,MBR00166,savings,62435.54,2017-04-23,closed
57,MBR00400,checking,715.17,2010-03-04,closed
260,MBR00410,checking,9211.51,2014-07-25,active
480,MBR00378,money_market,149850.58,2011-12-10,active
626,MBR00141,money_market,27287.5,2015-11-13,active
228,MBR00349,checking,24034.84,2016-12-03,active
213,MBR00187,checking,24920.75,2024-03-23,active
594,MBR00133,money_market,28744.6,2026-02-21,active
333,MBR00153,savings,4380.52,2004-08-14,frozen
25,MBR00102,checking,17354.11,2026-01-13,active
781,MBR00104,money_market,74811.93,2023-05-04,active
352,MBR00329,checking,15696.02,2018-05-27,active
357,MBR00477,money_market,139439.55,2024-02-22,active
52,MBR00294,checking,11197.11,2023-08-01,frozen
332,MBR00022,savings,19371.8,2025-10-28,frozen
734,MBR00307,savings,24534.21,2026-03-30,active
630,MBR00004,cd,70967.38,2014-04-14,closed
502,MBR00443,checking,9329.44,2018-06-27,active
335,MBR00086,savings,29987.72,2023-08-28,active
286,MBR00154,checking,4272.63,2024-11-04,active
19,MBR00061,checking,18864.49,2020-05-29,active
585,MBR00269,money_market,54348.67,2015-08-01,frozen
749,MBR00304,savings,68185.43,2006-03-08,active
84,MBR00389,checking,7444.96,2023-07-13,frozen
62,MBR00497,checking,4268.13,2007-03-20,closed
463,MBR00004,cd,28533.18,2015-10-01,frozen
292,MBR00382,checking,6854.08,2017-12-03,active
448,MBR00232,money_market,19192.81,2002-05-13,closed
183,MBR00282,checking,14491.88,1998-12-28,active
550,MBR00283,savings,26970.39,2022-06-18,active
501,MBR00068,money_market,70256.84,2019-05-01,frozen
224,MBR00455,checking,12880.84,2023-03-19,active
425,MBR00336,cd,32432.12,2024-09-16,closed
468,MBR00146,savings,34422.67,2026-03-21,closed
320,MBR00319,savings,1944.96,2021-11-13,active
329,MBR00378,savings,55281.55,2008-01-16,active
444,MBR00021,savings,57504.41,2023-11-10,active
494,MBR00362,money_market,42545.87,2020-09-11,active
177,MBR00124,checking,10781.01,2022-01-25,active
677,MBR00165,cd,50853.03,2013-01-20,active
364,MBR00384,money_market,115526.8,2025-07-02,closed
164,MBR00286,checking,4276.27,2012-05-06,frozen
249,MBR00012,checking,10007.2,2019-01-12,closed
519,MBR00441,savings,27576.98,2024-05-23,active
711,MBR00185,checking,25614.12,2014-09-03,active
75,MBR00149,checking,3045.81,2025-09-02,active
644,MBR00304,savings,56157.96,2018-02-22,active
406,MBR00023,savings,21659.01,2014-09-17,frozen
105,MBR00140,checking,20211.72,2020-02-04,active
115,MBR00372,checking,15702.81,2025-03-19,frozen
301,MBR00269,checking,18543.07,2015-02-12,active
93,MBR00225,checking,4107.76,2009-09-25,active
412,MBR00046,savings,72525.96,2010-01-02,closed
90,MBR00088,checking,7686.81,2007-05-22,frozen
529,MBR00477,money_market,19362.62,2026-03-11,closed
735,MBR00424,savings,52498.58,2020-03-26,active
744,MBR00268,savings,23198.98,2014-11-02,frozen
576,MBR00120,money_market,60035.4,2023-08-20,active
498,MBR00410,cd,16253.7,2020-10-27,active
495,MBR00255,savings,62294.58,2019-01-05,active
12,MBR00215,checking,16888.66,2020-11-30,closed
434,MBR00192,cd,49653.11,2025-04-26,active
44,MBR00170,checking,13182.34,2022-01-01,active
43,MBR00247,checking,1914.73,2023-10-23,frozen
168,MBR00437,checking,13115.51,2011-11-22,closed
704,MBR00174,money_market,135275.73,2020-02-24,active
614,MBR00022,checking,24213.11,2024-03-16,frozen
413,MBR00475,checking,7421.76,2025-12-17,closed
179,MBR00143,checking,10694.69,2021-04-12,active
531,MBR00158,checking,3262.34,2017-04-30,closed
540,MBR00001,savings,73412.87,2023-02-10,active
178,MBR00457,checking,8827.89,2024-11-28,frozen
666,MBR00238,cd,41130.68,2004-11-10,active
767,MBR00007,money_market,60964.54,2019-02-09,closed
258,MBR00116,checking,13759.23,2011-06-18,active
766,MBR00459,savings,51095.27,2026-03-11,active
544,MBR00072,savings,63327.91,2023-02-11,active
16,MBR00262,checking,5077.57,2007-04-29,active
4,MBR00052,checking,17825.67,2017-10-16,closed
336,MBR00005,savings,51960.98,2012-01-17,frozen
257,MBR00307,checking,15358.17,2017-06-22,active
581,MBR00131,savings,58099.75,2024-07-08,frozen
446,MBR00237,savings,46178.5,2022-06-24,active
339,MBR00031,savings,11966.92,2005-02-20,closed
479,MBR00001,checking,18763.82,2009-12-27,active
418,MBR00116,savings,29767.07,2010-08-31,active
639,MBR00351,savings,12402.09,2025-06-07,active
715,MBR00497,savings,67283.95,2025-03-13,active
325,MBR00170,money_market,142867.5,2016-09-03,active
458,MBR00374,cd,29589.27,2024-03-08,active
10,MBR00359,checking,14100.78,2019-02-18,closed
250,MBR00432,checking,1448.29,2018-06-09,active
23,MBR00055,checking,14075.64,2024-02-07,active
222,MBR00050,checking,2750.98,2023-07-07,active
548,MBR00044,money_market,63838.68,2023-12-18,active
691,MBR00460,savings,19870.56,2019-09-12,active
785,MBR00019,savings,49626.12,2019-07-25,active
627,MBR00284,savings,69462.83,2022-01-30,active
341,MBR00404,money_market,67211.04,2015-12-08,active
672,MBR00187,checking,10967.73,2024-02-16,closed
204,MBR00318,checking,23274.06,2025-05-26,active
238,MBR00101,checking,4651.33,2026-02-09,frozen
94,MBR00493,checking,4938.72,2014-11-19,active
532,MBR00395,savings,37324.99,2024-02-03,frozen
363,MBR00099,savings,71089.0,2023-04-18,closed
545,MBR00431,savings,74810.48,2025-02-20,frozen
285,MBR00391,checking,15829.63,2016-07-20,active
185,MBR00207,checking,10280.24,2020-11-30,active
650,MBR00104,checking,20766.32,2023-07-29,active
397,MBR00395,savings,26553.87,2012-07-16,active
154,MBR00418,checking,1075.85,2025-09-07,closed
76,MBR00185,checking,18035.11,2025-08-12,active
454,MBR00197,money_market,26085.2,2024-11-26,closed
696,MBR00022,savings,33346.2,2023-03-18,active
278,MBR00471,checking,8669.09,2020-07-18,active
69,MBR00238,checking,17950.02,2019-03-29,active
515,MBR00366,money_market,81189.03,2023-10-18,active
189,MBR00228,checking,24795.79,2010-04-09,active
272,MBR00274,checking,14097.25,2015-06-17,closed
237,MBR00131,checking,7915.43,2019-09-09,active
89,MBR00332,checking,9912.63,2025-10-10,closed
763,MBR00253,savings,34542.46,2007-06-24,frozen
118,MBR00486,checking,19253.09,2017-04-10,active
126,MBR00313,checking,18954.43,2005-06-27,active
661,MBR00421,savings,18418.11,2004-11-21,closed
290,MBR00099,checking,7990.27,2024-01-09,active
239,MBR00097,checking,23263.36,2023-12-14,active
1,MBR00155,checking,3540.68,2011-07-09,closed
792,MBR00179,checking,26740.29,2024-08-14,active
603,MBR00277,checking,28624.66,2011-10-06,active
795,MBR00160,checking,20639.74,2022-04-23,active
466,MBR00296,money_market,51338.89,2024-04-19,active
279,MBR00045,checking,8842.15,2003-10-24,frozen
625,MBR00392,savings,25495.03,2023-06-14,active
117,MBR00082,checking,20334.8,2020-09-25,closed
229,MBR00192,checking,11571.94,2026-01-05,closed
757,MBR00499,cd,92127.24,2024-08-05,frozen
421,MBR00497,cd,33599.19,2012-01-26,closed
435,MBR00084,savings,30939.89,2018-11-14,active
275,MBR00200,checking,20990.4,2022-08-01,active
319,MBR00057,savings,34231.16,2023-02-27,frozen
552,MBR00122,savings,31107.42,2025-03-15,closed
145,MBR00269,checking,4223.58,2023-02-12,active
649,MBR00235,savings,27214.97,2025-08-13,active
736,MBR00050,savings,61836.95,2024-02-22,active
727,MBR00290,cd,63171.61,2022-07-26,active
586,MBR00146,savings,2265.69,2019-04-05,active
370,MBR00312,savings,16437.65,2025-04-24,closed
269,MBR00142,checking,11877.38,2022-01-22,active
568,MBR00338,savings,13567.25,2023-05-03,frozen
308,MBR00466,savings,17421.07,2026-04-05,active
311,MBR00177,savings,1119.62,2018-11-08,active
452,MBR00465,money_market,20722.77,2015-05-21,active
47,MBR00007,checking,2389.44,2015-02-24,active
350,MBR00496,money_market,30505.74,2022-06-18,frozen
372,MBR00492,checking,1039.89,2023-05-25,active
524,MBR00167,money_market,81079.97,2004-08-10,active
262,MBR00130,checking,9370.51,2024-01-18,active
196,MBR00482,checking,17512.85,2025-07-17,active
800,MBR00052,money_market,52055.2,2026-03-31,closed
673,MBR00021,savings,48788.86,2015-03-29,frozen
108,MBR00245,checking,10959.49,2024-07-14,active
60,MBR00371,checking,7481.21,2007-02-01,frozen
600,MBR00478,money_market,41799.38,2022-07-13,frozen
440,MBR00377,money_market,60637.23,2023-04-30,frozen
101,MBR00480,checking,7199.91,2008-01-09,active
478,MBR00453,savings,22141.36,2025-03-28,active
719,MBR00213,savings,53413.4,2026-03-17,active
584,MBR00345,money_market,4264.31,2000-02-17,active
738,MBR00175,checking,4636.65,2018-03-23,active
180,MBR00431,checking,19169.89,2025-10-24,active
305,MBR00240,savings,20794.87,2025-07-08,active
430,MBR00095,money_market,92767.29,2008-05-04,active
508,MBR00287,checking,16275.86,2025-01-14,closed
771,MBR00433,checking,25143.27,2013-03-01,frozen
150,MBR00174,checking,12027.63,2024-04-04,closed
125,MBR00093,checking,24103.61,2024-03-22,closed
635,MBR00322,savings,840.47,2016-07-21,active
698,MBR00177,savings,40720.06,2017-04-18,active
186,MBR00456,checking,10709.18,2021-07-22,closed
542,MBR00303,money_market,107486.61,2025-09-02,active
51,MBR00428,checking,319.21,2025-08-06,frozen
488,MBR00459,savings,61155.41,2023-07-28,frozen
790,MBR00303,money_market,54532.66,2025-08-25,active
486,MBR00473,cd,79928.18,2026-03-27,frozen
322,MBR00138,money_market,109748.29,2016-06-10,active
354,MBR00249,checking,17130.37,2012-04-29,active
740,MBR00426,money_market,107600.7,2022-05-31,frozen
143,MBR00454,checking,19837.17,2019-08-08,closed
371,MBR00475,savings,72143.06,2026-02-20,active
142,MBR00422,checking,10205.47,2023-01-17,active
400,MBR00058,savings,46764.68,2025-06-16,active
264,MBR00453,checking,24483.88,2014-07-06,frozen
321,MBR00497,checking,29169.98,2017-01-22,active
20,MBR00145,checking,20369.25,2023-02-19,active
173,MBR00085,checking,16518.88,2017-11-08,closed
654,MBR00296,cd,9560.96,2017-11-25,closed
313,MBR00409,savings,59859.17,2015-05-13,closed
391,MBR00044,savings,58149.97,2024-09-11,active
746,MBR00353,savings,16133.15,2017-07-10,active
13,MBR00426,checking,21949.18,2019-09-22,active
408,MBR00035,money_market,100289.79,2020-10-07,frozen
409,MBR00185,checking,26022.31,2001-09-05,frozen
306,MBR00070,savings,45020.02,2025-05-21,frozen
355,MBR00337,savings,52747.89,2026-04-10,active
26,MBR00312,checking,9601.41,2026-04-10,active
598,MBR00018,checking,21826.35,2018-08-03,active
170,MBR00259,checking,4517.81,2015-09-06,closed
39,MBR00281,checking,1094.52,2015-03-26,active
176,MBR00165,checking,21883.13,2013-06-14,frozen
246,MBR00287,checking,21215.46,2019-10-01,active
299,MBR00076,checking,2479.29,2009-10-15,active
669,MBR00152,money_market,105463.11,2021-12-05,closed
417,MBR00456,cd,94469.53,2025-04-04,active
549,MBR00458,money_market,69523.17,2022-09-27,active
273,MBR00324,checking,10020.21,2013-04-14,frozen
612,MBR00330,savings,72389.06,2014-09-29,active
155,MBR00222,checking,1492.21,2025-08-15,active
127,MBR00195,checking,4064.64,2023-08-15,closed
450,MBR00013,savings,67298.0,2021-03-07,active
572,MBR00122,savings,47999.31,2024-08-17,active
342,MBR00011,savings,54467.74,2022-06-20,active
431,MBR00311,money_market,90463.2,2023-04-06,active
288,MBR00464,checking,21237.63,2014-11-23,active
114,MBR00357,checking,4991.16,2025-08-01,frozen
500,MBR00074,money_market,140858.52,2000-08-12,frozen
174,MBR00442,checking,22434.53,2015-01-22,frozen
360,MBR00422,savings,3528.66,2024-03-03,active
483,MBR00158,savings,24632.33,2014-12-17,active
58,MBR00485,checking,19285.31,2023-05-29,closed
553,MBR00296,checking,1135.95,2013-09-25,active
223,MBR00114,checking,7426.87,2017-01-06,active
281,MBR00209,checking,13507.11,2020-05-07,active
18,MBR00317,checking,17295.81,2013-02-15,active
128,MBR00409,checking,16519.39,2021-06-26,active
323,MBR00047,checking,6515.64,2025-02-16,active
256,MBR00345,checking,14567.1,2016-10-08,active
539,MBR00437,checking,27032.27,2016-01-04,active
471,MBR00034,savings,9590.73,2010-11-13,active
599,MBR00010,savings,49138.47,2024-12-16,active
469,MBR00185,checking,8978.83,1998-06-13,active
769,MBR00356,cd,74401.78,2025-11-07,active
191,MBR00230,checking,12113.45,2023-09-10,active
116,MBR00031,checking,22313.42,2005-11-03,closed
517,MBR00240,savings,51493.61,2008-03-01,frozen
710,MBR00163,money_market,141651.82,2024-05-12,frozen
536,MBR00106,cd,30673.8,2024-09-27,frozen
95,MBR00138,checking,21299.55,2014-11-09,closed
181,MBR00260,checking,14997.48,2013-11-25,closed
302,MBR00336,savings,18931.04,2020-10-13,active
617,MBR00073,money_market,72004.9,2025-09-08,closed
582,MBR00124,savings,15021.96,2025-04-03,active
591,MBR00473,money_market,104602.67,2026-02-03,frozen
732,MBR00025,savings,48101.52,2011-10-08,active
559,MBR00399,savings,38693.4,1998-05-07,active
709,MBR00344,cd,40047.94,2006-05-19,active
543,MBR00196,savings,49855.32,2021-10-19,active
6,MBR00267,checking,7335.43,2025-04-30,active
786,MBR00453,savings,10519.37,2015-04-02,frozen
46,MBR00002,checking,10456.69,2003-06-27,closed
726,MBR00497,savings,27451.08,2006-07-23,active
158,MBR00458,checking,21974.87,2004-06-24,frozen
606,MBR00042,savings,57604.85,2026-01-30,frozen
172,MBR00254,checking,18834.34,2022-08-13,active
17,MBR00369,checking,17116.42,2015-12-11,active
512,MBR00026,savings,6915.91,2006-12-26,active
49,MBR00046,checking,7410.0,2017-10-29,closed
775,MBR00262,checking,13639.04,2012-04-23,active
758,MBR00244,money_market,29806.05,2014-05-10,frozen
481,MBR00024,savings,60550.24,2012-11-04,active
284,MBR00100,checking,9588.67,2024-11-04,active
537,MBR00156,money_market,137479.89,2021-11-12,active
226,MBR00182,checking,17385.38,2024-07-15,active
27,MBR00103,checking,24397.99,2022-10-05,active
631,MBR00455,savings,60652.18,2011-07-27,active
438,MBR00444,savings,24704.72,2025-10-28,active
365,MBR00184,savings,50060.56,2025-10-22,active
230,MBR00478,checking,12101.06,2022-06-22,active
38,MBR00021,checking,240.56,2010-04-13,active
780,MBR00339,savings,37167.97,2020-10-26,active
375,MBR00012,cd,51615.88,2018-12-08,closed
470,MBR00460,money_market,114370.19,2021-04-28,closed
772,MBR00256,money_market,115480.89,2025-03-10,closed
683,MBR00056,savings,52432.62,2025-04-03,active
695,MBR00355,money_market,26285.07,2021-09-17,active
195,MBR00162,checking,18720.57,2021-12-21,active
685,MBR00151,cd,54602.06,2024-01-26,active
694,MBR00365,savings,13564.27,2021-03-12,frozen
504,MBR00053,checking,22754.81,2017-01-09,frozen
774,MBR00183,money_market,142645.48,2021-06-16,active
670,MBR00278,money_market,118684.55,2021-04-25,active
773,MBR00140,money_market,97465.1,2024-06-27,active
163,MBR00446,checking,15617.97,2010-05-17,closed
752,MBR00180,checking,25375.85,2006-04-03,active
153,MBR00483,checking,14849.46,2025-12-09,active
558,MBR00040,money_market,135778.83,2021-08-30,closed
