id,member_number,loan_type,original_balance,current_balance,interest_rate,origination_date,maturity_date,status
23,MBR00187,mortgage,102800.44,18.39,0.0429,2026-01-13,2055-01-13,paid_off
24,MBR00224,heloc,201288.03,39944.01,0.0644,2021-01-06,2033-01-06,current
25,MBR00104,personal,26289.2,23856.11,0.1746,2023-10-31,2028-10-31,current
26,MBR00487,auto,47398.26,39675.16,0.0444,2009-09-18,2015-09-18,charged_off
27,MBR00326,personal,10687.82,2125.8,0.0832,2026-03-13,2028-03-13,current
28,MBR00434,heloc,226896.23,38106.57,0.0608,2001-12-24,2020-12-24,charged_off
29,MBR00404,mortgage,334603.98,133727.58,0.049,2025-08-12,2052-08-12,current
30,MBR00039,mortgage,271482.74,246249.11,0.0473,2016-06-13,2036-06-13,current
31,MBR00431,heloc,172345.61,11949.13,0.0858,2022-03-15,2042-03-15,current
32,MBR00436,mortgage,123664.45,86516.48,0.0474,2019-04-01,2048-04-01,delinquent
33,MBR00275,personal,11213.89,4838.39,0.1274,2014-11-10,2016-11-10,charged_off
34,MBR00110,mortgage,556997.05,504369.54,0.0503,2017-03-11,2035-03-11,current
35,MBR00148,mortgage,211757.77,105149.47,0.0533,2026-01-29,2049-01-29,current
36,MBR00136,personal,7104.77,6513.01,0.1626,2007-04-04,2009-04-04,charged_off
37,MBR00025,personal,11120.02,3666.72,0.1496,2022-04-03,2027-04-03,current
38,MBR00153,auto,58169.58,14715.2,0.0505,1999-03-20,2003-03-20,charged_off
39,MBR00496,mortgage,533240.21,530122.32,0.0473,2010-10-10,2028-10-10,current
40,MBR00206,auto,31241.59,8562.96,0.0833,2025-09-07,2031-09-07,current
41,MBR00412,personal,21969.32,19221.19,0.1584,2001-09-21,2005-09-21,charged_off
42,MBR00116,auto,11155.19,1572.75,0.0747,2011-06-26,2014-06-26,charged_off
43,MBR00320,auto,40674.28,37172.49,0.0617,2022-07-09,2026-07-09,current
44,MBR00381,auto,28203.36,7367.25,0.0482,2017-05-12,2020-05-12,charged_off
45,MBR00048,mortgage,332224.36,251616.88,0.0643,2018-09-29,2033-09-29,current
46,MBR00368,personal,14318.94,2181.78,0.0708,2018-05-29,2021-05-29,charged_off
47,MBR00433,mortgage,296156.67,79642.88,0.0594,2021-10-04,2051-10-04,delinquent
48,MBR00297,auto,26982.42,20725.04,0.0695,2025-12-24,2032-12-24,current
49,MBR00049,auto,36702.18,4068.78,0.0431,2022-10-28,2029-10-28,current
50,MBR00304,mortgage,416013.5,348896.61,0.0578,2004-06-15,2033-06-15,current
51,MBR00488,mortgage,307817.56,203420.31,0.0534,2025-09-25,2047-09-25,current
52,MBR00140,personal,23336.58,6735.28,0.167,2024-02-12,2026-02-12,charged_off
53,MBR00035,heloc,209939.38,42833.37,0.0843,2019-06-30,2039-06-30,current
54,MBR00291,personal,22142.64,7372.25,0.1459,2010-04-26,2013-04-26,charged_off
55,MBR00411,auto,15971.63,909.51,0.0645,2017-06-20,2024-06-20,charged_off
56,MBR00272,mortgage,202053.83,24063.38,0.0699,2016-01-12,2032-01-12,current
57,MBR00244,auto,50537.18,33469.02,0.0415,2007-07-25,2014-07-25,charged_off
58,MBR00219,auto,17467.96,110.7,0.0511,2015-06-29,2022-06-29,charged_off
59,MBR00108,personal,27158.71,3981.25,0.0993,2010-11-13,2015-11-13,charged_off
60,MBR00178,personal,21545.84,4331.0,0.1476,2022-10-12,2023-10-12,charged_off
61,MBR00408,heloc,191383.44,41691.68,0.0901,2019-02-15,2030-02-15,delinquent
62,MBR00040,personal,2426.96,313.39,0.0883,2017-04-21,2018-04-21,charged_off
63,MBR00334,heloc,47687.81,23920.63,0.0868,2025-11-04,2039-11-04,current
64,MBR00422,auto,25005.53,14025.39,0.046,2019-07-08,2023-07-08,charged_off
65,MBR00155,mortgage,479897.25,316098.69,0.0633,2019-02-25,2041-02-25,current
66,MBR00259,auto,25484.0,21620.34,0.0579,2019-01-10,2025-01-10,charged_off
67,MBR00460,personal,15338.56,8997.45,0.0851,2022-06-10,2024-06-10,charged_off
68,MBR00479,mortgage,318551.59,272175.48,0.0676,2017-05-06,2043-05-06,current
69,MBR00222,personal,33083.86,597.33,0.1071,2025-12-23,2026-12-23,current
70,MBR00340,auto,46755.58,1041.11,0.085,2015-12-18,2019-12-18,charged_off
71,MBR00277,heloc,201776.98,120662.07,0.0987,2016-02-06,2034-02-06,current
72,MBR00161,mortgage,238247.97,41216.05,0.0663,1999-06-12,2024-06-12,charged_off
73,MBR00103,heloc,156496.26,55731.55,0.0864,2015-02-03,2027-02-03,current
74,MBR00213,mortgage,401457.48,239065.64,0.0578,2026-04-01,2055-04-01,current
75,MBR00461,mortgage,99224.49,47581.15,0.0455,2019-11-08,2044-11-08,current
76,MBR00129,auto,33141.94,27838.32,0.066,2025-11-25,2030-11-25,current
77,MBR00458,personal,21145.12,5782.99,0.1614,2017-04-11,2019-04-11,charged_off
78,MBR00264,heloc,36506.06,13617.14,0.0928,2025-09-17,2035-09-17,current
79,MBR00233,auto,40802.93,22313.2,0.0623,2000-12-27,2003-12-27,charged_off
80,MBR00344,heloc,203293.01,132071.92,0.0804,2012-12-13,2031-12-13,current
81,MBR00391,personal,25305.05,6642.26,0.1485,2019-01-22,2021-01-22,charged_off
82,MBR00281,auto,33404.85,18228.71,0.081,2019-11-11,2023-11-11,charged_off
83,MBR00093,auto,28413.07,16340.73,0.044,2006-08-07,2012-08-07,charged_off
84,MBR00010,auto,16813.14,10041.59,0.0584,2016-08-27,2019-08-27,charged_off
85,MBR00322,mortgage,484988.85,1691.75,0.0533,2022-01-14,2045-01-14,current
86,MBR00361,heloc,185612.07,91732.1,0.092,2007-08-06,2023-08-06,charged_off
87,MBR00265,mortgage,318010.66,167478.55,0.0577,2017-04-25,2035-04-25,current
88,MBR00096,heloc,98639.69,87756.17,0.082,2016-04-04,2027-04-04,current
89,MBR00296,auto,33752.76,23516.9,0.0585,2013-11-25,2016-11-25,charged_off
90,MBR00256,mortgage,491425.92,467517.53,0.0613,2025-08-03,2044-08-03,current
91,MBR00467,personal,8329.77,5425.6,0.0701,2019-05-14,2023-05-14,charged_off
92,MBR00339,personal,15197.56,1515.39,0.104,2014-02-08,2019-02-08,charged_off
93,MBR00457,personal,17157.74,8497.13,0.0845,2022-03-10,2027-03-10,current
94,MBR00240,mortgage,313518.86,105184.85,0.0335,2019-12-31,2044-12-31,current
95,MBR00138,auto,26746.84,7063.5,0.0422,2023-07-29,2030-07-29,current
96,MBR00327,personal,25045.09,10993.68,0.1392,2017-03-09,2022-03-09,charged_off
97,MBR00273,auto,35764.41,15133.51,0.0877,2025-04-14,2029-04-14,current
98,MBR00480,mortgage,178485.85,157017.01,0.05,2006-03-13,2036-03-13,delinquent
99,MBR00394,auto,6043.55,3358.83,0.0522,2025-07-10,2029-07-10,current
100,MBR00223,mortgage,288934.89,190709.58,0.0496,1997-06-30,2013-06-30,charged_off
101,MBR00290,auto,6323.13,5747.57,0.0558,2014-07-17,2021-07-17,charged_off
102,MBR00373,heloc,140027.03,32443.61,0.0614,2026-03-17,2040-03-17,current
103,MBR00321,heloc,172866.06,141498.16,0.0826,2019-12-23,2029-12-23,current
104,MBR00031,auto,10430.93,7740.44,0.0605,2016-12-31,2020-12-31,charged_off
105,MBR00268,heloc,225880.36,172461.66,0.064,2025-10-12,2035-10-12,current
106,MBR00428,mortgage,573665.67,256359.09,0.0323,2021-06-16,2044-06-16,current
107,MBR00478,auto,39844.77,12945.67,0.0534,2025-08-09,2028-08-09,current
108,MBR00237,mortgage,488311.38,447337.98,0.0526,2024-01-18,2048-01-18,current
109,MBR00076,auto,58235.13,12693.88,0.0669,2011-04-02,2016-04-02,charged_off
110,MBR00124,mortgage,300351.28,11679.33,0.0316,2020-08-09,2049-08-09,current
111,MBR00078,personal,6690.98,4862.32,0.1726,2014-10-04,2015-10-04,charged_off
112,MBR00383,auto,42399.88,17589.2,0.082,2007-08-11,2012-08-11,charged_off
113,MBR00351,mortgage,103652.06,31258.42,0.0419,2024-07-18,2041-07-18,current
114,MBR00454,personal,34959.92,1488.69,0.0931,2020-05-28,2024-05-28,charged_off
115,MBR00401,mortgage,434692.52,237899.36,0.0553,2026-03-25,2051-03-25,current
116,MBR00211,heloc,91991.15,90530.83,0.0981,2019-02-10,2036-02-10,current
117,MBR00164,mortgage,81064.71,26531.96,0.0301,2005-04-10,2035-04-10,current
118,MBR00033,personal,24912.19,11493.26,0.1291,2024-11-27,2028-11-27,current
119,MBR00325,personal,16136.01,2784.0,0.1087,2014-04-16,2015-04-16,charged_off
120,MBR00105,mortgage,172137.05,10974.11,0.0349,2021-05-12,2036-05-12,current
121,MBR00212,auto,6087.99,3909.58,0.0739,2025-01-28,2030-01-28,current
122,MBR00137,mortgage,237652.84,7772.08,0.0393,2019-12-07,2041-12-07,current
123,MBR00147,mortgage,446104.8,161295.39,0.0302,2023-02-28,2044-02-28,current
124,MBR00331,auto,32517.91,8493.2,0.0675,2025-09-03,2029-09-03,current
125,MBR00083,mortgage,171275.0,126807.82,0.0597,2001-04-13,2020-04-13,charged_off
126,MBR00132,mortgage,198541.89,193952.1,0.0376,2023-10-04,2046-10-04,delinquent
127,MBR00352,personal,21891.52,1359.67,0.167,2012-10-15,2017-10-15,charged_off
128,MBR00308,mortgage,570398.6,323673.73,0.0641,2013-12-10,2029-12-10,delinquent
129,MBR00121,auto,42409.54,10219.78,0.0647,2025-01-10,2031-01-10,current
130,MBR00208,auto,20286.32,20181.66,0.0665,2025-02-12,2031-02-12,current
131,MBR00123,auto,36450.08,798.42,0.0894,2021-02-14,2024-02-14,charged_off
132,MBR00059,mortgage,118708.99,81813.54,0.0378,2015-04-03,2037-04-03,current
133,MBR00077,auto,31398.15,2038.97,0.0695,2025-06-06,2028-06-06,current
134,MBR00099,auto,31046.71,14912.51,0.0815,2024-03-31,2029-03-31,current
135,MBR00015,auto,37998.06,21033.59,0.0781,2025-04-04,2031-04-04,current
136,MBR00126,heloc,230011.45,49993.85,0.069,2023-09-04,2039-09-04,current
137,MBR00159,personal,2862.82,2571.31,0.1388,2006-02-12,2011-02-12,charged_off
138,MBR00238,auto,7871.17,6036.31,0.06,2017-01-30,2023-01-30,charged_off
139,MBR00249,mortgage,423056.5,86656.91,0.048,2024-07-21,2039-07-21,current
140,MBR00287,mortgage,256600.57,105767.33,0.0481,2022-12-15,2037-12-15,current
141,MBR00477,auto,44231.47,4229.86,0.0794,2024-01-22,2031-01-22,current
142,MBR00217,mortgage,264803.43,215570.27,0.0589,2022-03-30,2052-03-30,current
143,MBR00332,auto,12022.44,8281.2,0.0617,2020-06-01,2027-06-01,current
144,MBR00019,personal,6011.91,3794.54,0.1363,2022-06-17,2025-06-17,charged_off
145,MBR00476,auto,37254.2,6736.16,0.0428,2025-05-20,2029-05-20,current
146,MBR00082,auto,23909.89,5134.32,0.0719,2022-08-23,2026-08-23,current
147,MBR00449,personal,24622.57,3643.93,0.1359,2013-01-29,2017-01-29,charged_off
148,MBR00070,mortgage,254543.45,227855.1,0.0466,2021-02-27,2045-02-27,current
149,MBR00366,heloc,129023.36,99312.63,0.0836,2022-05-02,2032-05-02,current
150,MBR00133,auto,45402.24,36080.42,0.0803,2022-11-21,2027-11-21,current
151,MBR00143,heloc,97076.12,83252.29,0.071,2021-06-22,2032-06-22,current
152,MBR00338,mortgage,554608.56,444173.31,0.0317,2020-12-30,2046-12-30,current
153,MBR00282,auto,19409.94,14635.79,0.0569,2023-07-19,2027-07-19,current
154,MBR00091,auto,19398.37,16736.07,0.0409,2022-05-06,2025-05-06,charged_off
155,MBR00330,personal,31090.39,16906.84,0.1729,2014-08-17,2017-08-17,charged_off
156,MBR00022,mortgage,273622.13,33275.78,0.0675,2024-07-10,2044-07-10,current
157,MBR00362,auto,55828.55,17063.78,0.0495,2022-02-15,2026-02-15,charged_off
158,MBR00011,mortgage,303360.89,116482.09,0.0667,2024-02-15,2046-02-15,current
159,MBR00029,mortgage,490585.65,62377.23,0.0398,2016-02-04,2041-02-04,current
160,MBR00043,heloc,222600.23,46524.07,0.0876,2018-05-23,2031-05-23,current
161,MBR00429,auto,26346.37,14114.61,0.0586,2018-08-04,2025-08-04,charged_off
162,MBR00309,mortgage,274416.94,144409.68,0.0585,2016-05-31,2046-05-31,current
163,MBR00463,mortgage,491124.73,391426.17,0.0382,2025-09-04,2041-09-04,current
164,MBR00389,mortgage,239119.5,178256.59,0.0528,2021-08-09,2048-08-09,current
165,MBR00209,personal,11031.63,10577.76,0.1086,2018-11-20,2023-11-20,charged_off
166,MBR00402,mortgage,254914.47,161230.36,0.0486,2020-09-30,2049-09-30,current
167,MBR00047,auto,6359.5,5876.89,0.0516,2025-10-27,2031-10-27,current
168,MBR00204,auto,32597.07,2392.43,0.0721,2013-12-12,2020-12-12,charged_off
169,MBR00072,auto,8924.18,7169.27,0.0672,2023-12-06,2026-12-06,current
170,MBR00372,mortgage,504093.69,1010.35,0.0375,2022-01-18,2045-01-18,delinquent
171,MBR00058,personal,26153.91,18782.55,0.0708,2025-10-20,2028-10-20,current
172,MBR00499,heloc,236995.6,125132.73,0.089,2024-05-08,2043-05-08,current
173,MBR00257,personal,6075.56,3193.08,0.0949,2020-11-13,2024-11-13,charged_off
174,MBR00062,mortgage,488706.82,322224.16,0.0588,2014-04-12,2043-04-12,current
175,MBR00396,personal,15578.96,2290.98,0.093,2018-12-19,2022-12-19,charged_off
176,MBR00298,auto,12642.26,6323.66,0.0552,2020-01-16,2024-01-16,charged_off
177,MBR00269,personal,13058.52,3096.94,0.116,2022-04-19,2024-04-19,charged_off
178,MBR00425,personal,11187.67,10827.33,0.0725,2026-01-11,2031-01-11,current
179,MBR00475,heloc,248621.77,21443.08,0.0832,2025-05-06,2044-05-06,current
180,MBR00438,mortgage,278285.65,225873.7,0.0324,2020-03-13,2047-03-13,current
181,MBR00122,mortgage,314798.37,102345.5,0.0336,2018-05-22,2042-05-22,current
182,MBR00399,personal,21514.37,1907.35,0.0904,2000-12-24,2001-12-24,charged_off
183,MBR00063,mortgage,187063.99,102012.79,0.0563,2006-11-10,2030-11-10,current
184,MBR00470,auto,22972.46,20005.85,0.0595,2002-07-21,2008-07-21,charged_off
185,MBR00169,mortgage,466434.23,405829.37,0.0681,2022-11-25,2049-11-25,current
186,MBR00300,mortgage,449029.24,185228.17,0.0363,2015-05-25,2045-05-25,current
187,MBR00498,personal,10364.99,9701.94,0.1789,2021-10-29,2022-10-29,charged_off
188,MBR00377,mortgage,499934.23,269862.22,0.0663,2025-10-21,2050-10-21,current
189,MBR00359,personal,10789.0,6569.53,0.108,2016-09-03,2020-09-03,charged_off
190,MBR00112,personal,29894.69,16208.06,0.0973,2023-03-24,2027-03-24,current
191,MBR00074,auto,36273.84,27579.17,0.0748,1998-03-02,2004-03-02,charged_off
192,MBR00055,personal,10308.39,3112.68,0.102,1998-01-25,2003-01-25,charged_off
193,MBR00090,personal,8386.67,7369.95,0.1151,2023-12-14,2027-12-14,current
194,MBR00410,personal,18149.42,13561.85,0.115,2006-07-26,2009-07-26,charged_off
195,MBR00141,mortgage,320327.09,198232.64,0.0555,2023-01-21,2040-01-21,current
196,MBR00226,personal,14486.93,1200.43,0.0975,2020-07-11,2021-07-11,charged_off
197,MBR00210,mortgage,469311.53,211927.69,0.0484,2018-09-07,2048-09-07,current
198,MBR00131,heloc,43661.38,7051.49,0.0928,2005-12-18,2019-12-18,charged_off
199,MBR00302,mortgage,172163.03,143161.59,0.0513,2021-01-27,2039-01-27,current
200,MBR00483,auto,20028.87,5720.0,0.0578,2025-06-09,2031-06-09,current
201,MBR00132,mortgage,309870.23,111239.64,0.0634,2020-04-11,2036-04-11,current
202,MBR00159,personal,14281.03,14214.4,0.1187,2018-01-22,2021-01-22,charged_off
203,MBR00327,personal,27081.88,21665.89,0.1111,2014-01-12,2016-01-12,charged_off
204,MBR00438,auto,6536.93,2092.08,0.0568,2011-06-26,2014-06-26,charged_off
205,MBR00404,auto,57730.99,15933.09,0.0797,2007-11-20,2010-11-20,charged_off
206,MBR00281,auto,33187.51,26896.9,0.056,2025-10-25,2030-10-25,current
207,MBR00287,mortgage,568240.08,365619.12,0.0392,2020-06-17,2038-06-17,current
208,MBR00076,mortgage,244444.92,228307.57,0.0384,2012-06-01,2039-06-01,current
209,MBR00137,mortgage,271869.58,189891.59,0.0653,2018-01-28,2035-01-28,current
210,MBR00396,heloc,34435.26,28531.02,0.0905,2021-08-21,2039-08-21,delinquent
211,MBR00422,mortgage,590336.27,180807.75,0.057,2025-11-26,2052-11-26,current
212,MBR00161,mortgage,539662.86,503228.34,0.069,2020-09-19,2045-09-19,current
213,MBR00153,heloc,117738.78,58466.72,0.0837,2006-02-18,2024-02-18,charged_off
214,MBR00457,personal,1451.92,1003.5,0.1377,2022-01-10,2023-01-10,charged_off
215,MBR00137,personal,26746.36,16729.22,0.0786,2011-12-10,2016-12-10,charged_off
216,MBR00470,auto,13341.88,1021.87,0.072,2008-04-06,2012-04-06,charged_off
217,MBR00138,mortgage,571855.78,203808.22,0.0353,2020-10-04,2045-10-04,current
218,MBR00233,mortgage,588335.1,90053.6,0.0599,2011-01-11,2035-01-11,current
219,MBR00051,auto,34662.15,9722.66,0.08,2020-08-12,2024-08-12,charged_off
220,MBR00402,mortgage,278372.68,276690.57,0.0372,2023-03-23,2048-03-23,current
221,MBR00022,auto,15585.6,14155.47,0.0868,2021-01-25,2025-01-25,charged_off
222,MBR00052,mortgage,512234.86,293899.97,0.0394,2012-07-03,2033-07-03,current
223,MBR00112,auto,15864.49,11055.95,0.0487,2019-02-13,2025-02-13,charged_off
224,MBR00372,mortgage,583217.42,302590.28,0.0408,2024-01-14,2045-01-14,delinquent
225,MBR00255,mortgage,276413.09,107968.55,0.0476,2025-01-06,2055-01-06,current
226,MBR00269,auto,57456.66,32899.84,0.0409,2021-10-21,2027-10-21,current
227,MBR00499,heloc,82055.57,60943.35,0.0618,2024-10-22,2042-10-22,current
228,MBR00040,mortgage,275076.38,78434.35,0.0328,2017-09-20,2047-09-20,current
229,MBR00155,heloc,11003.33,5595.7,0.0878,2016-12-02,2034-12-02,delinquent
230,MBR00217,heloc,242918.23,87195.81,0.0722,2020-09-15,2035-09-15,current
231,MBR00394,mortgage,100189.99,83922.9,0.0453,2025-03-18,2043-03-18,current
232,MBR00344,heloc,195104.89,71217.24,0.0778,2024-05-18,2039-05-18,current
233,MBR00389,auto,26193.32,13680.1,0.0767,2020-02-16,2026-02-16,charged_off
234,MBR00438,heloc,96739.43,71458.45,0.0562,2009-06-30,2029-06-30,current
235,MBR00457,personal,9645.79,9526.79,0.1335,2022-06-12,2027-06-12,current
236,MBR00298,mortgage,556779.08,268068.5,0.0581,2020-11-01,2047-11-01,current
237,MBR00436,mortgage,511469.77,16528.95,0.0576,2019-10-07,2042-10-07,current
238,MBR00159,mortgage,240149.01,65404.08,0.06,2025-05-17,2053-05-17,current
239,MBR00408,mortgage,483879.38,121584.34,0.0625,2011-06-26,2037-06-26,delinquent
240,MBR00454,mortgage,240212.18,216942.67,0.0626,1997-10-31,2017-10-31,charged_off
241,MBR00223,personal,15206.55,12611.79,0.1419,2015-10-13,2019-10-13,charged_off
242,MBR00200,mortgage,446104.54,22981.83,0.0494,2023-10-02,2044-10-02,current
243,MBR00290,personal,7311.69,5415.39,0.1524,2011-08-12,2012-08-12,charged_off
244,MBR00259,heloc,108110.18,14231.41,0.096,2015-12-21,2035-12-21,current
245,MBR00264,auto,25775.07,10679.99,0.0431,2025-05-23,2030-05-23,current
246,MBR00224,personal,4427.51,4395.51,0.0992,2026-02-06,2027-02-06,current
247,MBR00410,heloc,33242.04,13197.59,0.0905,2016-01-09,2034-01-09,delinquent
248,MBR00408,personal,32692.36,18652.51,0.1532,2019-01-03,2023-01-03,charged_off
249,MBR00458,mortgage,542879.14,181822.01,0.0626,2019-11-06,2044-11-06,current
250,MBR00291,auto,24581.61,13349.8,0.0802,2008-06-14,2013-06-14,charged_off
251,MBR00116,personal,25657.49,3361.0,0.0727,2010-01-07,2012-01-07,charged_off
252,MBR00351,auto,43459.55,21081.62,0.0583,2025-06-10,2029-06-10,current
253,MBR00309,auto,40094.03,5074.52,0.0407,2013-05-24,2018-05-24,charged_off
254,MBR00281,heloc,186595.13,96183.05,0.0749,2025-05-14,2045-05-14,current
255,MBR00210,personal,12843.35,1217.51,0.1785,2025-08-08,2029-08-08,current
256,MBR00209,auto,15729.23,6733.8,0.0834,2025-06-11,2029-06-11,current
257,MBR00268,mortgage,146487.9,1872.17,0.042,2024-02-09,2041-02-09,current
258,MBR00052,personal,33471.74,25326.19,0.1428,2016-02-26,2020-02-26,charged_off
259,MBR00277,auto,56931.54,55267.9,0.0452,2022-10-01,2025-10-01,charged_off
260,MBR00315,heloc,88360.19,24813.75,0.0894,2012-04-07,2028-04-07,current
261,MBR00483,heloc,170944.31,62642.85,0.061,2025-11-19,2045-11-19,current
262,MBR00132,personal,12315.24,937.84,0.1724,2025-09-26,2027-09-26,current
263,MBR00212,mortgage,553286.91,242395.03,0.0561,2025-07-02,2052-07-02,current
264,MBR00359,personal,8600.73,7834.07,0.1019,2008-04-29,2009-04-29,charged_off
265,MBR00428,personal,32865.16,4820.32,0.1329,2013-11-21,2014-11-21,charged_off
266,MBR00361,heloc,148460.04,120273.76,0.0689,2025-02-23,2035-02-23,current
267,MBR00470,mortgage,481066.07,196863.79,0.0507,2024-07-27,2043-07-27,current
268,MBR00076,auto,51879.91,8445.19,0.0471,2014-02-19,2019-02-19,charged_off
269,MBR00487,mortgage,317007.96,127158.14,0.0357,2001-11-30,2025-11-30,charged_off
270,MBR00116,mortgage,594974.26,253475.72,0.0408,2023-02-09,2041-02-09,current
271,MBR00475,auto,21032.23,17820.56,0.0428,2023-11-01,2029-11-01,current
272,MBR00460,personal,32770.72,2518.17,0.1469,2014-01-01,2016-01-01,charged_off
273,MBR00208,personal,30130.48,269.27,0.1028,2024-03-28,2028-03-28,current
274,MBR00392,mortgage,432507.32,401443.25,0.0602,2025-05-21,2051-05-21,current
275,MBR00467,auto,55768.51,37731.94,0.0596,2010-01-08,2017-01-08,charged_off
276,MBR00237,personal,30439.08,21183.35,0.1634,2025-07-11,2026-07-11,current
277,MBR00330,mortgage,309779.55,244798.23,0.0415,2007-06-09,2037-06-09,current
278,MBR00498,auto,40818.09,36656.77,0.0762,2024-09-27,2029-09-27,current
279,MBR00477,personal,13802.9,1021.62,0.1446,2023-12-01,2027-12-01,current
280,MBR00359,heloc,53111.89,21595.7,0.0602,2018-07-07,2028-07-07,delinquent
281,MBR00010,mortgage,290076.88,148337.81,0.0347,2013-09-30,2029-09-30,current
282,MBR00164,heloc,166671.27,54878.87,0.0898,2022-11-24,2038-11-24,current
283,MBR00425,mortgage,505461.48,280471.33,0.0409,2025-08-28,2052-08-28,current
284,MBR00251,auto,11712.84,5001.59,0.0511,2024-07-24,2031-07-24,current
285,MBR00226,auto,45994.76,2.11,0.049,2015-06-26,2022-06-26,paid_off
286,MBR00255,personal,11144.35,3189.87,0.0808,2015-02-09,2017-02-09,charged_off
287,MBR00209,personal,19275.38,11684.8,0.1593,2006-03-26,2010-03-26,charged_off
288,MBR00209,personal,27638.13,4501.04,0.1236,2017-06-05,2022-06-05,charged_off
289,MBR00297,mortgage,505790.35,17358.2,0.06,2025-03-12,2043-03-12,current
290,MBR00309,auto,37950.64,7570.66,0.0402,2015-05-07,2019-05-07,charged_off
291,MBR00454,auto,12084.88,5287.18,0.0725,2001-09-13,2005-09-13,charged_off
292,MBR00209,personal,2190.18,73.86,0.1256,2013-12-11,2014-12-11,charged_off
293,MBR00148,auto,58740.67,3159.39,0.0523,2024-01-20,2027-01-20,current
294,MBR00194,personal,23411.36,7138.09,0.0853,2025-08-11,2029-08-11,current
295,MBR00321,heloc,94508.11,85150.94,0.0779,2024-01-16,2042-01-16,current
296,MBR00140,auto,15344.05,653.3,0.0827,2018-06-03,2023-06-03,charged_off
297,MBR00429,mortgage,192340.78,72644.66,0.041,2023-04-22,2049-04-22,current
298,MBR00233,auto,25998.03,1436.64,0.0599,2004-06-28,2008-06-28,charged_off
299,MBR00391,personal,32966.78,12211.94,0.1288,1998-11-30,2000-11-30,charged_off
300,MBR00070,auto,39821.59,13646.14,0.0756,2025-08-29,2029-08-29,current
301,MBR00154,mortgage,298236.97,168913.33,0.0426,2023-12-10,2042-12-10,current
302,MBR00404,mortgage,120312.79,71371.8,0.0512,2024-12-14,2042-12-14,current
303,MBR00412,auto,55008.5,39955.6,0.0472,2007-12-02,2012-12-02,charged_off
304,MBR00422,auto,58871.69,12790.84,0.0588,2018-06-07,2022-06-07,charged_off
305,MBR00077,auto,33956.16,30711.97,0.0693,2019-04-19,2024-04-19,charged_off
306,MBR00063,mortgage,377522.2,39047.03,0.052,2008-03-01,2032-03-01,current
307,MBR00210,heloc,103495.2,3311.82,0.0912,2025-05-11,2040-05-11,current
308,MBR00047,mortgage,521807.61,516851.76,0.0536,2025-04-12,2055-04-12,current
309,MBR00226,auto,11950.26,11318.51,0.0683,2010-08-15,2016-08-15,charged_off
310,MBR00110,personal,34132.99,10008.24,0.1445,2017-04-23,2019-04-23,charged_off
311,MBR00282,auto,59243.55,2807.18,0.065,2011-01-17,2017-01-17,charged_off
312,MBR00298,mortgage,453602.74,23834.72,0.0421,2020-11-28,2042-11-28,current
313,MBR00428,mortgage,126873.11,6994.9,0.033,2016-06-01,2033-06-01,current
314,MBR00281,auto,45887.52,1736.09,0.0864,2011-12-31,2018-12-31,charged_off
315,MBR00211,mortgage,344514.83,108480.19,0.0491,2023-04-18,2042-04-18,current
316,MBR00147,mortgage,144839.62,24420.33,0.0546,2025-03-04,2040-03-04,current
